Record_Number,Amount_Requested,Interest_Rate_Percentage,Loan_Length_in_Months,Loan_Purpose,Monthly_PAYMENT,Total_Amount_Funded,Debt_To_Income_Ratio_Percentage,FICO,Status
494,5000,13.72,60,10,115.62,5000,5.17,682,0
495,3600,14.96,36,14,124.73,3600,4.75,662,0
496,20000,14.96,60,1,475.38,20000,15.54,707,0
497,20000,13.49,36,1,678.61,20000,14.14,687,0
498,5000,12.29,36,6,166.77,5000,21.66,682,0
499,32000,15.23,36,1,1112.9,32000,7.2,717,0
500,20000,14.96,36,1,692.93,20000,4.69,687,1
501,20000,11.99,60,5,444.79,20000,10.11,807,1
502,2975,9.96,36,1,95.94,2975,14.16,692,1
503,3000,8.32,36,6,78.72,2500,6.58,722,1
504,16000,13.23,36,1,540.88,16000,20.81,722,1
505,19075,17.58,60,1,480.04,19075,23.91,692,0
506,16000,16,36,2,562.52,16000,20.6,662,0
507,14000,14.65,36,1,482.92,14000,25.97,767,0
508,12000,17.88,36,3,433.11,12000,18.52,662,0
509,9750,12.12,36,1,324.4,9750,11.42,687,0
510,13925,8.9,36,2,442.17,13925,16.91,717,1
511,3200,14.96,36,1,110.87,3200,20.43,672,1
512,19000,11.48,36,1,626.41,19000,17.44,752,1
513,1800,10.37,60,10,38.58,1800,24.15,707,1
514,12000,9.99,36,1,387.15,12000,13.48,717,1
515,32000,16.29,36,1,1129.62,32000,10.33,712,0
516,5600,15.23,36,5,194.76,5600,2.7,667,1
517,25000,17.56,60,1,628.87,25000,13.57,697,0
518,33500,21.74,60,1,582.4,21200,2.77,682,0
519,8500,13.16,36,1,287.05,8500,3.9,697,1
520,14400,11.71,36,2,476.3,14400,16.35,707,1
521,24800,18.25,60,3,633.14,24800,1.36,742,0
522,5000,9.99,60,14,106.22,5000,13.03,727,0
523,8750,12.72,36,2,293.65,8750,20.12,682,1
524,5000,10.38,36,7,162.23,5000,21.84,732,1
525,35000,15.62,60,1,844.09,35000,8.16,747,0
526,20000,8.49,36,1,631.26,20000,11.85,742,1
527,20000,11.89,36,3,663.28,20000,10.55,792,0
528,18825,13.99,60,1,437.93,18825,29.22,722,1
529,15000,15.95,36,1,526.99,15000,5.42,672,1
530,14400,16.89,60,14,357.03,14400,6.43,732,1
531,22000,21.64,60,1,603.13,22000,1.11,662,0
532,4500,5.99,36,6,136.88,4500,11.65,757,0
533,8000,12.53,36,1,267.74,8000,11.57,697,1
534,21500,6.91,36,2,662.98,21500,21.82,742,0
535,2400,7.9,36,5,75.1,2400,13.95,732,1
536,15000,14.59,36,1,516.98,15000,12.64,692,0
537,7000,10.65,36,14,228.02,7000,7.63,702,1
538,4000,6.62,36,5,122.82,4000,3.89,762,1
539,3000,15.33,36,6,104.49,3000,11,667,1
540,6000,9.32,36,4,191.69,6000,9.51,742,0
541,8000,11.26,36,10,262.91,8000,0.34,747,0
542,4000,15.05,36,10,138.77,4000,22.48,662,1
543,16000,7.88,36,9,500.5,16000,6.1,802,1
544,16500,9.32,36,6,527.13,16500,8.35,732,0
545,35000,10.99,36,3,1145.69,35000,3.25,772,0
546,18000,12.53,36,1,602.4,18000,18.96,727,1
547,6000,7.14,36,1,185.65,6000,13.63,752,0
548,5000,7.51,36,1,155.56,5000,17.18,737,1
549,12000,8.32,36,1,220.39,7000,9.58,782,1
550,20000,16,36,3,703.15,20000,18.13,717,0
551,15450,13.93,36,1,527.52,15450,19.71,667,0
552,15000,9.91,60,1,318.05,15000,3.02,787,1
553,31000,15.65,60,3,748.11,31000,8.51,732,0
554,15250,15.95,36,1,535.77,15250,19.11,672,0
555,11650,10.74,60,6,251.8,11650,11.38,752,0
556,3250,8.59,36,1,102.74,3250,6,732,0
557,10000,18.25,36,14,362.78,10000,20.64,667,1
558,7500,11.97,36,1,153.55,4625,14.43,732,0
559,24000,18.25,60,4,612.72,24000,9.13,692,1
560,1200,6.03,36,5,36.53,1200,1.97,832,1
561,5000,9.88,36,14,161.06,5000,11.36,722,1
562,9700,11.34,36,4,220.43,6700,23.14,752,0
563,7000,17.27,36,14,250.52,7000,18.38,667,0
564,25000,13.24,36,14,265.41,7850,15.62,707,0
565,20000,14.26,36,1,686.12,20000,13.43,702,0
566,14000,12.12,36,1,465.81,14000,20.56,707,1
567,2000,8.7,36,2,63.32,2000,6.07,712,1
568,2500,13.22,36,1,84.51,2500,14.56,727,0
569,3000,14.11,36,5,102.69,3000,21.01,672,1
570,7500,14.96,36,1,259.84,7500,5.38,687,0
571,20375,18.39,60,1,521.73,20375,16.16,697,1
572,10800,21.36,60,3,294.37,10800,19.81,692,0
573,7000,13.85,36,14,238.73,7000,20.44,672,0
574,9000,10.37,36,1,291.98,9000,2,687,1
575,9500,7.29,36,1,294.6,9500,21.25,737,1
576,10750,11.14,36,1,352.64,10750,21,727,1
577,23000,12.36,36,2,767.89,23000,16.07,702,0
578,35000,14.17,60,1,817.48,35000,10.09,747,1
579,2000,6.03,36,5,60.88,2000,5.15,772,1
580,7500,10.83,36,7,244.94,7500,14.59,707,1
581,4000,13.47,36,1,135.7,4000,17.86,682,0
582,15000,11.89,36,1,497.46,15000,7.34,717,0
583,35000,12.68,60,1,790.64,35000,18.29,787,0
584,4800,9.63,36,14,154.06,4800,7.67,732,0
585,10000,9.88,36,1,322.11,10000,14.16,732,1
586,3000,13.47,36,1,101.77,3000,14.6,687,0
587,12000,10.74,36,2,391.39,12000,15,702,1
588,9925,15.58,36,1,346.88,9925,15.35,667,0
589,25000,19.03,60,1,648.93,25000,6.06,757,0
590,10000,15.99,36,1,351.53,10000,4.5,672,1
591,16750,10.62,36,5,545.38,16750,10.2,727,1
592,17000,12.84,36,7,571.51,17000,7.8,752,0
593,19000,12.53,36,1,635.86,19000,10.54,717,1
594,7000,19.13,36,1,257.05,7000,13.52,662,1
595,12000,6.03,36,14,365.23,12000,2.11,782,1
596,11000,13.72,36,1,374.46,11000,18.52,667,0
597,24250,12.73,36,12,813.99,24250,21.13,717,1
598,22000,16.63,36,2,780.34,22000,14.96,677,1
599,5000,7.88,60,14,101.1,5000,19.86,727,0
600,8000,10.74,36,5,260.93,8000,17.87,707,0
601,25000,16.02,36,3,879.18,25000,1.24,707,0
602,19125,18.25,36,1,693.82,19125,17.85,672,0
603,16000,15.33,60,7,383.42,16000,17.25,692,0
604,25000,10.36,36,1,810.92,25000,16.32,722,0
605,23600,14.96,36,6,817.63,23600,0.2,707,1
606,25000,15.31,36,3,870.39,25000,8.14,777,0
607,12000,7.88,36,2,375.38,12000,14.7,747,1
608,7925,12.42,60,1,177.98,7925,28.2,727,0
609,25000,10.62,36,1,814,25000,3.45,792,1
610,10000,12.18,36,1,333,10000,10.2,712,1
611,4800,17.99,36,14,173.51,4800,10.72,697,0
612,2150,10.78,36,7,70.17,2150,19.15,692,0
613,9325,12.53,36,3,312.08,9325,18.58,712,0
614,6625,11.22,36,1,217.59,6625,13.77,682,1
615,10800,13.57,36,1,366.86,10800,2.77,717,0
616,12000,15.21,60,1,286.81,12000,2.63,697,0
617,25000,21.27,60,2,640.69,23550,18.75,667,1
618,12000,12.53,36,1,401.6,12000,11.88,722,0
619,8000,16.07,36,14,281.56,8000,21.66,682,0
620,4000,14.17,36,5,137.05,4000,21.32,677,0
621,22000,13.23,36,1,743.71,22000,9.45,732,0
622,1500,12.18,36,14,49.95,1500,22.23,692,1
623,3000,7.49,36,14,93.31,3000,24.03,732,1
624,12000,13.35,36,4,406.36,12000,15.76,732,1
625,12000,14.84,36,1,415.05,12000,16.56,672,1
626,20000,13.49,60,14,460.1,20000,19.47,717,0
627,30000,22.06,60,1,829.6,30000,18.99,667,0
628,4000,15.62,36,1,139.88,4000,11.86,662,0
629,7500,10.01,36,14,216.23,6700,5.13,717,0
630,6250,13.72,60,1,144.53,6250,23.36,697,0
631,2800,15.8,36,2,98.17,2800,9.35,682,0
632,8000,12.73,36,1,268.52,8000,9.54,687,0
633,32000,10.74,36,1,1043.71,32000,0.78,767,1
634,1500,15.23,36,11,52.17,1500,2.47,662,0
635,8000,16.49,60,1,196.64,8000,11.23,707,0
636,7750,12.53,36,2,259.37,7750,3.27,757,0
637,25000,11.12,36,1,819.89,25000,11.5,742,1
638,18000,17.39,36,1,645.26,18000,11.84,672,0
639,5200,12.69,36,1,174.44,5200,17.68,682,1
640,1500,11.14,36,14,49.21,1500,20.37,712,0
641,17000,16.4,60,1,417.03,17000,8.46,707,0
642,6000,12.21,36,2,199.89,6000,23.11,692,0
643,1000,11.48,36,10,32.97,1000,11.57,702,0
644,10000,9.25,36,3,319.17,10000,5.6,707,1
645,15000,6.92,36,1,462.61,15000,13.14,782,1
646,1750,10.36,36,5,56.77,1750,14.63,682,1
647,9600,8,36,4,300.83,9600,5.93,777,1
648,6000,7.9,36,6,187.75,6000,10.55,767,1
649,9600,11.71,60,4,212.15,9600,13.08,752,0
650,20000,14.88,36,1,692.14,20000,7.11,667,0
651,25000,18.25,60,1,638.25,25000,23.91,697,1
652,4000,14.09,36,14,136.89,4000,33.56,687,0
653,9000,13.06,60,1,205.06,9000,5.74,712,0
654,10000,13.16,36,1,337.71,10000,15.94,697,1
655,33950,19.99,36,1,1261.54,33950,17.39,677,0
656,3000,12.49,36,12,100.35,3000,12.77,662,0
657,2500,15.68,36,12,87.51,2500,23.88,667,0
658,25000,16.69,60,4,396.84,16075,9.51,702,1
659,25000,11.09,36,1,819.54,25000,17.11,722,1
660,28000,8.9,36,1,889.09,28000,2.26,802,0
661,10000,12.53,36,1,334.67,10000,12.83,702,1
662,4800,11.49,36,2,158.27,4800,21.64,692,0
663,18000,9.99,36,1,580.73,18000,4.19,737,1
664,25000,14.59,36,1,861.63,25000,24.64,707,1
665,25000,14.46,60,1,587.69,25000,13.46,717,0
666,18650,21.67,60,3,511.6,18650,14.19,687,0
667,5000,15.31,36,14,174.08,5000,3.79,672,0
668,20000,10.83,36,1,653.17,20000,8.2,742,0
669,18000,11.49,60,1,395.78,18000,19.04,737,0
670,20000,13.85,36,14,682.08,20000,8.17,702,1
671,6000,12.53,36,11,200.8,6000,2.91,692,1
672,3000,8.94,36,5,95.32,3000,7.44,717,1
673,10000,13.57,36,1,339.69,10000,18.22,682,0
674,13000,14.35,36,3,446.53,13000,22.42,682,0
675,7200,9.63,36,1,231.08,7200,9.17,762,1
676,9450,10.16,36,5,305.64,9450,23.28,722,0
677,1500,9.91,36,14,48.34,1500,8.21,707,0
678,8000,8.32,36,12,251.88,8000,17.6,797,0
679,12375,10.74,36,1,403.62,12375,15.25,702,1
680,10000,11.49,36,8,329.72,10000,0.03,742,1
681,11000,13.79,36,14,374.84,11000,14.8,687,1
682,4000,16.32,60,6,97.96,4000,2.15,672,1
683,10000,15.28,60,1,239.38,10000,23.44,702,0
684,2100,15.21,36,5,73.02,2100,20.33,717,0
685,12000,9.76,36,1,385.86,12000,8.61,732,1
686,2000,12.69,36,14,67.09,2000,18.8,682,0
687,5000,14.96,36,1,173.24,5000,22.29,677,0
688,12000,19.69,60,2,315.87,12000,12.26,667,0
689,20000,20.85,60,1,539.39,20000,20.89,677,0
690,3600,7.49,36,4,111.97,3600,13.11,737,1
691,4000,15.95,60,14,97.17,4000,6.4,687,0
692,12000,6.03,36,10,365.23,12000,7.84,757,1
693,22000,10.62,36,2,716.32,22000,8.77,737,1
694,4000,11.26,36,1,131.46,4000,8.77,742,1
695,7200,11.26,36,5,236.62,7200,0.61,717,1
696,1500,10.36,36,13,48.66,1500,20.82,697,1
697,6000,7.88,36,1,187.69,6000,24.72,727,1
698,9000,8.94,36,14,285.95,9000,12.42,767,1
699,19500,17.06,60,1,485.26,19500,16.2,687,0
700,2000,11.71,36,1,66.16,2000,21.56,697,0
701,9600,13.43,60,7,220.55,9600,14.37,702,1
702,15850,16.35,36,1,559.97,15850,22.84,662,0
703,5900,10.71,36,1,192.35,5900,16.24,697,1
704,25000,10.75,36,2,815.52,25000,15.7,752,1
705,20000,13.72,36,1,680.84,20000,6.04,707,1
706,10000,16.49,60,5,245.8,10000,2.36,742,0
707,4000,7.88,36,1,125.13,4000,12.3,717,1
708,20000,6.91,60,5,248.47,12575,4.44,767,1
709,18000,11.03,36,12,589.56,18000,6.15,707,1
710,3000,16.89,36,11,106.8,3000,8.03,662,0
711,5000,14.65,36,13,172.48,5000,11.3,662,1
712,9600,14.11,36,4,328.6,9600,12.72,667,1
713,3500,8.9,36,1,111.14,3500,15.21,702,0
714,1800,11.49,60,13,39.58,1800,16.44,707,0
715,25000,12.98,60,4,342.85,15075,4.16,767,1
716,3500,6.92,36,1,107.95,3500,13.19,737,1
717,3000,14.26,36,7,102.92,3000,12.21,672,1
718,35000,17.49,60,3,879.09,35000,6.2,732,0
719,6000,15.58,60,11,144.58,6000,11.22,702,1
720,14825,23.52,60,1,422.37,14825,23.68,662,0
721,1600,7.88,36,11,50.05,1600,19.82,717,0
722,1500,12.18,36,14,49.95,1500,14.4,687,0
723,4800,16.29,36,1,169.45,4800,24.18,677,0
724,7200,7.29,36,2,223.28,7200,23.19,732,1
725,20000,15.57,60,1,356.54,14800,13.97,707,0
726,15000,10.16,36,10,485.14,15000,7.87,727,0
727,5000,7.43,36,14,155.38,5000,3.72,812,1
728,4500,7.66,36,4,140.31,4500,1.47,777,0
729,9000,17.14,60,1,224.36,9000,20.16,687,0
730,10800,14.59,36,14,372.23,10800,1.96,677,1
731,26025,17.14,60,1,648.75,26025,1.75,707,1
732,5000,14.96,36,14,173.24,5000,16.17,662,0
733,18000,13.99,60,1,418.74,18000,16.97,742,1
734,5000,10.74,36,1,163.08,5000,8.31,702,1
735,17000,15.31,36,2,591.9,17000,13.06,677,1
736,3250,8,36,2,101.85,3250,10.26,747,1
737,2700,8.9,36,1,85.74,2700,29.08,722,1
738,8000,17.77,36,2,288.3,8000,18.58,667,1
739,3700,10.37,36,4,120.04,3700,11.8,702,1
740,7400,8,36,1,231.89,7400,13.43,752,1
741,5300,7.68,36,1,165.32,5300,0.58,812,1
742,5800,8.32,36,4,182.61,5800,0.72,742,1
743,18000,17.99,60,1,456.99,18000,21.16,682,0
744,20000,10.62,36,1,651.2,20000,19.2,737,1
745,5000,12.99,36,14,168.45,5000,17.02,682,0
746,5000,6.62,36,1,153.52,5000,20.19,767,0
747,11200,11.66,36,1,370.19,11200,17.78,692,0
748,2500,14.22,36,13,85.72,2500,0,682,0
749,8000,20.16,60,1,212.67,8000,11.26,667,1
750,2000,16,36,10,70.32,2000,2.55,667,0
751,3000,14.42,36,4,51.58,1500,19.85,672,1
752,16000,11.66,36,1,528.84,16000,13.47,702,1
753,20000,14.33,36,3,686.77,20000,24.81,702,0
754,12000,12.84,36,2,403.42,12000,11.21,687,0
755,7000,14.96,36,14,242.53,7000,9.65,662,0
756,5600,8.32,36,2,135.39,4300,17.04,752,1
757,6000,11.71,36,4,198.46,6000,2.4,692,0
758,8000,16.49,36,2,283.2,8000,24.82,667,0
759,3000,9.07,36,2,95.5,3000,3.03,727,0
760,6000,10.99,36,1,196.41,6000,15.86,707,0
761,35000,11.99,60,1,510.4,22950,6.13,777,1
762,18500,7.66,36,1,576.83,18500,10.33,757,1
763,15000,10.96,36,14,472.81,14450,1.33,712,0
764,25000,11.48,36,1,824.22,25000,9.9,777,1
765,12800,9.62,36,1,410.75,12800,15.87,712,1
766,15000,12.18,36,1,499.5,15000,21.24,722,0
767,1500,9.62,36,13,48.14,1500,17.79,702,0
768,9000,5.99,36,2,273.76,9000,11.68,757,0
769,6000,14.11,36,1,205.38,6000,21.3,662,0
770,1000,11.99,36,13,33.21,1000,4.39,687,0
771,22400,12.99,60,5,509.56,22400,2.7,782,0
772,3000,10.75,36,13,97.87,3000,18.39,717,0
773,9000,7.66,36,5,280.62,9000,9.1,762,1
774,7000,11.34,36,4,230.3,7000,5.69,682,1
775,18000,7.9,36,1,563.23,18000,12.92,767,1
776,16000,8.9,36,2,508.06,16000,25.29,737,0
777,9875,7.51,36,2,307.22,9875,6.64,732,1
778,22400,21.67,60,1,614.47,22400,18.65,667,0
779,7000,7.88,36,2,218.97,7000,12.74,722,1
780,7000,6.54,36,4,214.68,7000,20.04,732,1
781,25000,21.64,36,9,950.12,25000,20.74,672,0
782,1800,8.88,36,13,57.14,1800,24.56,712,0
783,6400,10.39,36,1,207.69,6400,14.79,712,1
784,24250,17.56,60,1,610.01,24250,16.82,687,0
785,10000,8.59,36,13,316.11,10000,8.52,812,1
786,22800,17.19,60,2,568.98,22800,8.87,697,0
787,6500,12.68,36,3,218.02,6500,20.39,692,0
788,25000,16.02,60,1,608.22,25000,24.62,732,0
789,12925,6.54,36,1,354.21,11550,13.15,732,1
790,6000,13.49,36,3,203.59,6000,14.19,702,0
791,6500,15.01,36,3,225.37,6500,6.45,677,0
792,6000,8.59,36,2,189.67,6000,12.65,757,1
793,10000,9.91,60,5,212.03,10000,6.46,737,1
794,10000,17.39,36,1,358.48,10000,22.35,672,0
795,4000,11.99,36,13,132.84,4000,22.43,687,1
796,3000,11.83,36,1,99.41,3000,9.43,692,1
797,5000,13.11,36,1,168.74,5000,27.05,692,1
798,8500,10.59,36,1,276.64,8500,5.76,702,1
799,12000,15.62,36,14,419.64,12000,20.83,677,1
800,2500,15.33,36,4,87.08,2500,17.81,662,0
801,12000,14.96,36,12,415.76,12000,8.83,697,0
802,9500,7.51,36,1,295.56,9500,16.82,742,1
803,3200,6.76,36,1,98.46,3200,8.34,772,1
804,2400,9.91,36,1,77.34,2400,15.66,697,0
805,24000,13.61,60,1,495.36,21475,6.39,742,1
806,1500,14.42,36,10,51.58,1500,12.04,667,0
807,25000,20.77,60,5,673.11,25000,12.82,667,1
808,24250,18.25,60,1,619.1,24250,16.08,707,0
809,3000,7.88,36,4,93.85,3000,8.16,747,1
810,7000,8.94,36,6,222.41,7000,15.2,722,0
811,20000,13.43,36,1,678.03,20000,10.26,717,0
812,13500,9.76,36,1,434.09,13500,16.94,722,1
813,25000,12.87,36,4,840.83,25000,0.13,757,0
814,22750,23.13,60,1,643.04,22750,18.73,667,0
815,15000,12.69,60,1,338.93,15000,4.68,732,0
816,11725,16.29,36,2,413.9,11725,14.41,672,0
817,4500,14.46,36,11,154.81,4500,13.51,672,0
818,7500,7.9,36,1,234.68,7500,12.32,722,0
819,10000,14.93,36,3,346.32,10000,20.58,682,0
820,15000,5.99,36,14,456.27,15000,1.55,782,1
821,35000,14.27,60,1,819.3,35000,7.93,737,0
822,1875,8.49,36,2,59.19,1875,24.47,722,0
823,5000,13.61,60,4,115.34,5000,13.61,722,0
824,2500,7.14,36,5,77.35,2500,9.05,752,1
825,12000,14.42,36,1,412.6,12000,7.91,682,0
826,15000,13.57,36,7,509.53,15000,15.42,712,1
827,2400,16.4,60,1,58.88,2400,13.64,662,0
828,4200,7.88,36,4,131.39,4200,1.42,807,1
829,35000,10.99,60,11,760.82,35000,1.1,807,1
830,5000,14.74,36,12,172.69,5000,9.81,687,0
831,4000,14.65,36,14,137.98,4000,5.67,672,1
832,16000,7.49,36,9,497.63,16000,3.28,747,1
833,9500,7.51,36,1,295.56,9500,2.14,757,1
834,5000,12.53,36,14,167.34,5000,4.85,722,0
835,11500,11.58,36,1,379.66,11500,23.7,712,0
836,11000,16.69,60,3,271.55,11000,7.35,677,0
837,4000,5.79,36,4,121.31,4000,6.17,777,1
838,4000,5.99,36,1,121.67,4000,4.29,737,0
839,5000,9.88,36,2,161.06,5000,16.18,717,1
840,20000,20.3,60,7,533.23,20000,8.4,667,0
841,5400,10.99,36,1,176.77,5400,4.25,677,0
842,9000,15.96,36,1,316.24,9000,5.89,682,0
843,7000,6.03,36,1,213.05,7000,1.73,772,1
844,15900,13.22,36,1,537.43,15900,20,702,1
845,4000,9.99,36,8,129.05,4000,22.7,687,1
846,8500,12.84,36,1,285.76,8500,24.43,732,1
847,6000,10.37,36,3,194.65,6000,7.29,692,0
848,17500,13.48,36,2,593.7,17500,3.31,712,1
849,10000,14.65,36,4,344.95,10000,0.3,697,1
850,2800,16.29,36,1,98.85,2800,13.66,662,0
851,12000,16.49,60,1,294.96,12000,15.69,692,1
852,4200,15.95,60,1,102.03,4200,19.78,667,0
853,20000,12.99,60,1,454.96,20000,22.69,747,1
854,15000,7.9,36,1,469.36,15000,16.67,732,0
855,5950,12.73,36,2,199.72,5950,1.66,682,1
856,15000,9.76,36,3,482.32,15000,22.4,727,0
857,7000,11.11,60,1,152.59,7000,8.2,712,0
858,18000,12.18,36,1,599.4,18000,9.28,722,1
859,6000,7.29,36,4,186.06,6000,10.35,727,1
860,9500,7.51,36,6,295.56,9500,2.78,737,1
861,7500,8.9,36,2,238.15,7500,7.85,767,1
862,16000,14.65,36,2,551.91,16000,19.44,702,0
863,13000,16.02,60,6,316.28,13000,13.29,702,1
864,3000,14.83,60,4,71.11,3000,9.47,717,0
865,4000,12.73,36,1,134.26,4000,14.81,717,0
866,10000,13.62,36,14,339.94,10000,0,672,1
867,3000,7.9,36,2,93.88,3000,9.09,717,1
868,9500,10.38,36,1,308.24,9500,16.34,722,1
869,15000,18.17,60,5,382.29,15000,16.53,662,0
870,12000,17.58,36,1,431.31,12000,21.46,667,1
871,9500,13.98,60,1,220.95,9500,11.47,702,0
872,25000,15.37,36,4,871.16,25000,23.85,677,0
873,6000,11.99,36,1,199.26,6000,22.27,722,1
874,15250,15.68,36,5,533.78,15250,10.98,717,0
875,11700,12.12,36,1,389.28,11700,17.82,707,1
876,16000,14.09,36,1,547.55,16000,3.05,682,1
877,9200,10.36,60,1,197.11,9200,13.22,707,1
878,8400,11.49,60,7,184.7,8400,20.11,727,1
879,20000,16.82,60,1,495.12,20000,4.24,682,0
880,10800,9.76,36,12,347.27,10800,10.97,722,1
881,7500,7.05,36,6,231.75,7500,0,732,0
882,15000,12.61,60,3,218.78,9700,8.04,727,0
883,5000,7.88,36,1,156.41,5000,14.84,722,0
884,23975,17.93,36,1,865.92,23975,23.44,672,0
885,27000,20.5,60,1,722.87,27000,22.66,697,1
886,6000,10.51,36,1,195.05,6000,14.36,727,1
887,12000,10.59,36,1,390.54,12000,19.84,702,1
888,7500,9.99,36,10,241.97,7500,12.46,707,1
889,20000,12.21,36,1,666.3,20000,12.02,722,0
890,12000,9.76,36,14,385.86,12000,8.65,727,0
891,15000,17.58,36,2,539.14,15000,15.96,667,1
892,7500,14.27,36,14,257.32,7500,23.81,667,0
893,5000,12.61,36,13,167.54,5000,20.64,682,1
894,5350,13.06,36,1,180.42,5350,23.73,677,0
895,9000,12.69,36,2,301.91,9000,17.76,697,1
896,26250,16.89,60,1,650.83,26250,3.21,742,0
897,12800,15.2,36,1,444.98,12800,10.02,667,1
898,10000,15.8,36,2,350.59,10000,21.36,682,1
899,4000,16.89,60,14,99.18,4000,4.02,677,0
900,10000,13.11,36,3,337.45,10000,17.07,707,0
901,20000,13.85,36,1,682.08,20000,8.16,697,1
902,8500,12.42,36,1,284.03,8500,8.94,742,0
903,10000,18.25,60,1,255.3,10000,12.95,722,0
904,4000,12.21,36,11,133.26,4000,13.54,747,1
905,3600,15.99,36,1,126.55,3600,22.05,662,0
906,13800,17.49,60,10,346.62,13800,1.68,712,0
907,7500,11.91,36,1,201.52,6075,14.33,682,0
908,10000,13.24,36,12,338.1,10000,7.31,667,0
909,8000,7.49,36,1,248.82,8000,10.67,727,1
910,18000,15.31,60,4,431.16,18000,1.93,727,1
911,5000,9.91,36,1,161.13,5000,17.85,707,0
912,12000,8.88,36,1,380.93,12000,10.63,717,1
913,3000,6.76,36,4,92.31,3000,24.94,757,1
914,7000,5.79,36,2,212.29,7000,14.44,767,0
915,8800,11.36,36,2,289.61,8800,22.62,697,1
916,9500,10.38,60,3,203.63,9500,13.64,757,0
917,6600,15.33,60,2,158.16,6600,12.63,702,0
918,1800,8.59,36,14,56.9,1800,8.95,722,1
919,25000,14.17,60,1,583.92,25000,23.41,727,0
920,20000,18.91,60,1,517.83,20000,20.7,667,0
921,15000,16,36,1,527.36,15000,15.57,667,0
922,13000,14.59,36,1,448.05,13000,13.64,677,1
923,20950,14.79,60,1,496.1,20950,14.37,732,1
924,20000,12.18,36,1,666,20000,22.32,727,1
925,25000,24.2,60,1,722.11,25000,20.2,672,1
926,4600,15.62,36,1,160.87,4600,12.2,667,0
927,18000,16.4,36,2,636.39,18000,24.03,672,0
928,10000,13.87,36,1,341.15,10000,24.72,702,0
929,17500,11.48,36,1,576.95,17500,11.71,737,1
930,3000,11.49,36,5,98.92,3000,18.11,712,1
931,6000,7.88,36,1,187.69,6000,4.46,732,0
932,12000,13.49,60,1,276.06,12000,20.46,702,0
933,9900,6.99,36,11,305.64,9900,18.85,762,1
934,5300,12.61,60,1,119.54,5300,15.54,682,0
935,8975,14.33,36,14,308.19,8975,15.11,717,0
936,5600,10.64,36,4,182.39,5600,4.26,697,1
937,10000,10.37,36,5,324.42,10000,9.54,717,0
938,25000,11.83,36,5,828.35,25000,2.51,802,0
939,3625,11.11,36,14,118.87,3625,22.9,667,0
940,4000,10.38,36,4,129.79,4000,3.72,767,1
941,1400,7.9,36,14,43.81,1400,10,747,1
942,11200,8.49,36,1,353.51,11200,8.73,737,1
943,11500,12.21,36,14,383.13,11500,1.05,737,1
944,6000,6.92,36,2,185.05,6000,19.67,742,1
945,5000,13.48,36,4,169.63,5000,3.13,697,0
946,30000,19.72,36,1,1110.64,30000,7.24,687,1
947,9000,12.84,36,1,302.57,9000,9.68,712,1
948,10000,8,36,1,313.37,10000,4.9,797,1
949,12000,9.63,36,1,385.14,12000,11.76,752,0
950,8000,12.87,36,2,269.07,8000,3.49,727,0
951,7750,9.99,36,5,250.04,7750,18.7,697,0
952,5000,13.61,36,3,169.95,5000,16.32,687,1
953,1500,8,36,14,47.01,1500,14.73,767,0
954,15000,14.26,36,1,514.59,15000,8.94,682,1
955,16800,16.89,60,1,416.54,16800,10.85,692,0
956,9000,12.23,60,3,201.25,9000,24.89,717,0
957,9600,17.27,36,1,343.56,9600,16.42,682,0
958,4000,15.62,36,1,139.88,4000,10.82,662,0
959,26400,18.39,60,1,676.01,26400,12.28,712,1
960,16500,11.71,36,2,545.76,16500,11.05,727,0
961,14000,12.61,60,1,190.59,8450,13.88,692,0
962,3825,15.96,36,1,134.41,3825,23.54,662,0
963,16800,15.62,36,1,587.5,16800,19.03,687,1
964,9000,11.58,36,1,297.13,9000,14.03,707,0
965,2400,12.61,60,9,54.13,2400,12.5,692,0
966,9450,10.37,36,5,306.57,9450,16.69,697,0
967,16300,17.27,60,1,407.47,16300,9.48,722,1
968,19500,13.49,60,5,448.6,19500,16.9,752,0
969,6000,10.99,36,1,196.41,6000,6.21,697,1
970,18000,11.83,36,2,596.41,18000,12.92,742,1
971,20000,14.42,36,4,687.66,20000,16.97,697,1
972,10000,7.75,36,4,312.22,10000,0,787,0
973,6000,9.76,36,1,192.93,6000,5.43,707,1
974,8000,14.96,36,7,277.16,8000,6.65,662,1
975,28000,21.74,60,1,769.2,28000,9.81,662,0
976,7200,20.5,60,1,192.77,7200,16.28,662,1
977,10000,6.92,36,3,308.41,10000,7.8,772,0
978,12000,9.99,60,1,161.45,7600,19.16,727,0
979,12000,15.65,60,14,289.59,12000,9.39,682,0
980,15000,15.95,60,3,364.38,15000,6.17,722,0
981,6000,10.46,36,6,194.91,6000,5.06,687,1
982,22250,12.12,36,10,740.3,22250,26.92,727,0
983,5000,12.73,36,14,167.84,5000,15.76,682,0
984,9000,12.21,36,8,299.84,9000,12.27,697,0
985,20000,13.11,36,3,674.9,20000,9.21,732,0
986,3450,9.99,60,14,73.29,3450,11.81,737,0
987,9000,12.87,36,1,302.7,9000,4.43,687,1
988,5600,8.59,36,7,177.02,5600,12.15,737,0
989,30000,19.69,60,1,789.66,30000,21.91,702,1
990,1375,11.11,36,1,45.09,1375,2.1,732,0
